,City,lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Neratovice,50.2593,14.5176,280.85,46,0,7.2,CZ,1645465451
1,Carangola,-20.7331,-42.0294,300.0,82,68,1.29,BR,1645465452
2,Arraial do Cabo,-22.9661,-42.0278,305.13,70,40,5.66,BR,1645465452
3,Jamestown,42.097,-79.2353,285.42,42,0,3.6,US,1645465182
4,Zimovniki,47.1483,42.4633,277.26,77,17,3.16,RU,1645465452
5,Udachny,66.4167,112.4,253.22,99,86,2.01,RU,1645465453
6,Tual,-5.6667,132.75,301.19,79,100,10.51,ID,1645465453
7,Thompson,55.7435,-97.8558,243.24,63,0,2.57,CA,1645465182
8,Ushuaia,-54.8,-68.3,288.96,41,40,6.69,AR,1645465455
9,Rikitea,-23.1203,-134.9692,297.95,73,15,4.02,PF,1645465308
10,Albany,42.6001,-73.9662,285.75,40,51,0.89,US,1645465766
11,Kumul,42.8,93.45,271.93,35,0,2.51,CN,1645465456
12,Poum,-20.2333,164.0167,300.79,79,100,6.89,NC,1645465456
13,Lorengau,-2.0226,147.2712,300.51,76,100,2.75,PG,1645465456
14,Murom,55.5656,42.0417,272.55,94,100,4.43,RU,1645465457
15,Dikson,73.5069,80.5464,263.24,93,100,7.09,RU,1645465457
16,Honningsvåg,70.9821,25.9704,267.01,86,40,5.14,NO,1645465457
17,Shenzhen,22.5455,114.0683,283.78,97,100,4.66,CN,1645465458
18,Puerto Ayora,-0.7393,-90.3518,304.13,87,72,3.58,EC,1645465458
19,New Norfolk,-42.7826,147.0587,281.87,89,47,1.08,AU,1645465459
20,Hilo,19.7297,-155.09,296.27,89,100,4.12,US,1645465321
21,Forsytheganj,52.6333,29.7333,277.69,96,100,6.46,BY,1645465459
22,Butaritari,3.0707,172.7902,300.68,80,90,9.73,KI,1645465459
23,Russell,32.3502,-85.1999,285.99,90,75,1.54,US,1645465309
24,Vaini,-21.2,-175.2,300.4,79,17,7.21,TO,1645465460
25,Kapaa,22.0752,-159.319,291.14,82,0,2.06,US,1645465460
26,Marabu,4.4148,114.0089,297.23,94,40,1.54,MY,1645465460
27,Cidreira,-30.1811,-50.2056,302.65,53,71,2.8,BR,1645465461
28,Leningradskiy,69.3833,178.4167,236.29,99,68,1.91,RU,1645465461
29,Derzhavīnsk,51.1,66.3167,269.62,97,93,3.85,KZ,1645465461
30,Marawi,7.9986,124.2928,291.84,88,100,1.11,PH,1645465462
31,Visby,57.6409,18.296,274.27,93,75,9.77,SE,1645465185
32,Khatanga,71.9667,102.5,261.2,92,100,1.63,RU,1645465462
33,Kloulklubed,7.0419,134.2556,300.43,78,84,11.54,PW,1645465462
34,Hithadhoo,-0.6,73.0833,301.41,69,10,4.19,MV,1645465463
35,Yellowknife,62.456,-114.3525,244.49,81,20,4.12,CA,1645465463
36,Terra Santa,-2.1042,-56.4869,305.77,52,63,2.36,BR,1645465304
37,Punta Arenas,-53.15,-70.9167,291.21,34,0,9.26,CL,1645465464
38,Tall Kayf,37.0833,41.0667,287.34,30,75,1.03,TR,1645465464
39,Mataura,-46.1927,168.8643,284.87,72,84,1.74,NZ,1645465464
40,Okhotsk,59.3833,143.3,248.4,80,11,6.31,RU,1645465465
41,Cape Town,-33.9258,18.4232,294.41,70,20,7.2,ZA,1645465359
42,Barrow,71.2906,-156.7887,246.16,69,100,8.23,US,1645465242
